archive_path,source_repo,folder_name,name,primary_tool,tool_type,category
bioskills/seq-objects,bioskills,seq-objects,bio-seq-objects,Bio.Seq,python,
bioskills/sequence-logos,bioskills,sequence-logos,bio-data-visualization-sequence-logos,ggseqlogo,mixed,
bioskills/sequence-properties,bioskills,sequence-properties,bio-sequence-properties,Bio.SeqUtils,python,
bioskills/sequence-slicing,bioskills,sequence-slicing,bio-sequence-slicing,Bio.Seq,python,
bioskills/sequence-statistics,bioskills,sequence-statistics,bio-sequence-statistics,Bio.SeqIO,python,
bioskills/shape-similarity,bioskills,shape-similarity,bio-shape-similarity,RDKit,python,
bioskills/short-read-assembly,bioskills,short-read-assembly,bio-genome-assembly-short-read-assembly,SPAdes,cli,
bioskills/similarity-network,bioskills,similarity-network,bio-multi-omics-similarity-network,SNFtool,r,
bioskills/similarity-searching,bioskills,similarity-searching,bio-similarity-searching,RDKit,python,
bioskills/single-cell-atac,bioskills,single-cell-atac,bio-atac-seq-single-cell-atac,Signac,mixed,
bioskills/single-cell-splicing,bioskills,single-cell-splicing,bio-single-cell-splicing,MARVEL,python,
bioskills/single-cell__doublet-detection,bioskills,single-cell__doublet-detection,bio-single-cell-doublet-detection,Scrublet,mixed,
bioskills/smrna-pipeline,bioskills,smrna-pipeline,bio-workflows-smrna-pipeline,miRDeep2,mixed,
bioskills/smrna-preprocessing,bioskills,smrna-preprocessing,bio-small-rna-seq-smrna-preprocessing,cutadapt,cli,
bioskills/snakemake-workflows,bioskills,snakemake-workflows,bio-workflow-management-snakemake-workflows,Snakemake,python,
bioskills/somatic-signatures,bioskills,somatic-signatures,bio-clinical-databases-somatic-signatures,SigProfilerAssignment,mixed,
bioskills/somatic-variant-pipeline,bioskills,somatic-variant-pipeline,bio-workflows-somatic-variant-pipeline,GATK Mutect2,cli,
bioskills/sparse-handling,bioskills,sparse-handling,bio-expression-matrix-sparse-handling,scipy.sparse,python,
bioskills/spatial-analysis,bioskills,spatial-analysis,bio-imaging-mass-cytometry-spatial-analysis,squidpy,python,
bioskills/spatial-communication,bioskills,spatial-communication,bio-spatial-transcriptomics-spatial-communication,squidpy,python,
bioskills/spatial-data-io,bioskills,spatial-data-io,bio-spatial-transcriptomics-spatial-data-io,squidpy,python,
bioskills/spatial-deconvolution,bioskills,spatial-deconvolution,bio-spatial-transcriptomics-spatial-deconvolution,cell2location,python,
bioskills/spatial-domains,bioskills,spatial-domains,bio-spatial-transcriptomics-spatial-domains,squidpy,python,
bioskills/spatial-multiomics,bioskills,spatial-multiomics,bio-spatial-transcriptomics-spatial-multiomics,squidpy,python,
bioskills/spatial-neighbors,bioskills,spatial-neighbors,bio-spatial-transcriptomics-spatial-neighbors,squidpy,python,
bioskills/spatial-pipeline,bioskills,spatial-pipeline,bio-workflows-spatial-pipeline,Squidpy,python,
bioskills/spatial-preprocessing,bioskills,spatial-preprocessing,bio-spatial-transcriptomics-spatial-preprocessing,squidpy,python,
bioskills/spatial-proteomics,bioskills,spatial-proteomics,bio-spatial-transcriptomics-spatial-proteomics,scimap,python,
bioskills/spatial-statistics,bioskills,spatial-statistics,bio-spatial-transcriptomics-spatial-statistics,squidpy,python,
bioskills/spatial-visualization,bioskills,spatial-visualization,bio-spatial-transcriptomics-spatial-visualization,squidpy,python,
bioskills/species-delimitation,bioskills,species-delimitation,bio-ecological-genomics-species-delimitation,ASAP,mixed,
bioskills/species-trees,bioskills,species-trees,bio-phylo-species-trees,ASTRAL-III,mixed,
bioskills/spectral-libraries,bioskills,spectral-libraries,bio-proteomics-spectral-libraries,encyclopedia,mixed,
bioskills/spike-in-normalization,bioskills,spike-in-normalization,bio-chipseq-spike-in-normalization,DiffBind,mixed,
bioskills/splice-variant-prediction,bioskills,splice-variant-prediction,bio-splice-variant-prediction,SpliceAI,python,
bioskills/splicing-pipeline,bioskills,splicing-pipeline,bio-splicing-pipeline,rMATS-turbo,mixed,
bioskills/splicing-qc,bioskills,splicing-qc,bio-splicing-qc,RSeQC,python,
bioskills/splicing-quantification,bioskills,splicing-quantification,bio-splicing-quantification,rMATS-turbo,mixed,
bioskills/sra-data,bioskills,sra-data,bio-sra-data,sra-tools,cli,
bioskills/stamp-antibody-free,bioskills,stamp-antibody-free,bio-clip-seq-stamp-antibody-free,STAMP,mixed,
bioskills/star-alignment,bioskills,star-alignment,bio-read-alignment-star-alignment,STAR,cli,
bioskills/statistical-analysis,bioskills,statistical-analysis,bio-metabolomics-statistical-analysis,limma,mixed,
bioskills/statistical-annotation,bioskills,statistical-annotation,bio-data-visualization-statistical-annotation,ggpubr,mixed,
bioskills/strain-tracking,bioskills,strain-tracking,bio-metagenomics-strain-tracking,MASH,cli,
bioskills/structural-alignment,bioskills,structural-alignment,bio-alignment-structural,Foldseek,mixed,
bioskills/structural-variant-calling,bioskills,structural-variant-calling,bio-variant-calling-structural-variant-calling,manta,cli,
bioskills/structural-variants,bioskills,structural-variants,bio-longread-structural-variants,sniffles,cli,
bioskills/structure-io,bioskills,structure-io,bio-pdb-structure-io,Bio.PDB,python,
bioskills/structure-modification,bioskills,structure-modification,bio-pdb-structure-modification,Bio.PDB,python,
bioskills/structure-navigation,bioskills,structure-navigation,bio-pdb-structure-navigation,Bio.PDB,python,
bioskills/structure-probing,bioskills,structure-probing,bio-rna-structure-structure-probing,ShapeMapper2,cli,
bioskills/subclonal-copy-number,bioskills,subclonal-copy-number,bio-copy-number-subclonal-copy-number,battenberg,mixed,
bioskills/subgroup-analysis,bioskills,subgroup-analysis,bio-clinical-biostatistics-subgroup-analysis,statsmodels,python,
bioskills/substructure-search,bioskills,substructure-search,bio-substructure-search,RDKit,python,
bioskills/super-enhancers,bioskills,super-enhancers,bio-chipseq-super-enhancers,ROSE,mixed,
bioskills/survival-analysis,bioskills,survival-analysis,bio-clinical-biostatistics-survival-analysis,lifelines,mixed,
bioskills/synteny-analysis,bioskills,synteny-analysis,bio-comparative-genomics-synteny-analysis,MCScanX,mixed,
bioskills/tad-detection,bioskills,tad-detection,bio-hi-c-analysis-tad-detection,cooltools,mixed,
bioskills/target-prediction,bioskills,target-prediction,bio-small-rna-seq-target-prediction,miRanda,mixed,
bioskills/targeted-analysis,bioskills,targeted-analysis,bio-metabolomics-targeted-analysis,skyline,mixed,
bioskills/taxonomy-assignment,bioskills,taxonomy-assignment,bio-microbiome-taxonomy-assignment,dada2,mixed,
bioskills/tcr-epitope-binding,bioskills,tcr-epitope-binding,bio-immunoinformatics-tcr-epitope-binding,ERGO-II,python,
bioskills/tcr-pipeline,bioskills,tcr-pipeline,bio-workflows-tcr-pipeline,MiXCR,cli,
bioskills/temporal-clustering,bioskills,temporal-clustering,bio-temporal-genomics-temporal-clustering,Mfuzz,mixed,
bioskills/temporal-grn,bioskills,temporal-grn,bio-temporal-genomics-temporal-grn,statsmodels,mixed,
bioskills/timecourse-pipeline,bioskills,timecourse-pipeline,bio-workflows-timecourse-pipeline,Mfuzz,mixed,
bioskills/timeseries-de,bioskills,timeseries-de,bio-differential-expression-timeseries-de,limma,r,
bioskills/trajectory-inference,bioskills,trajectory-inference,bio-single-cell-trajectory-inference,Monocle3,mixed,
bioskills/trajectory-modeling,bioskills,trajectory-modeling,bio-temporal-genomics-trajectory-modeling,mgcv,mixed,
bioskills/transcription-translation,bioskills,transcription-translation,bio-transcription-translation,Bio.Seq,python,
bioskills/transcriptome-wide-association,bioskills,transcriptome-wide-association,bio-causal-genomics-transcriptome-wide-association,FUSION,mixed,
bioskills/translation-efficiency,bioskills,translation-efficiency,bio-ribo-seq-translation-efficiency,riborex,mixed,
bioskills/transmission-inference,bioskills,transmission-inference,bio-epidemiological-genomics-transmission-inference,TransPhylo,r,
bioskills/tree-io,bioskills,tree-io,bio-phylo-tree-io,Bio.Phylo,python,
bioskills/tree-manipulation,bioskills,tree-manipulation,bio-phylo-tree-manipulation,Bio.Phylo,python,
bioskills/tree-visualization,bioskills,tree-visualization,bio-phylo-tree-visualization,Bio.Phylo,python,
bioskills/trial-reporting,bioskills,trial-reporting,bio-clinical-biostatistics-trial-reporting,tableone,python,
bioskills/tumor-fraction-estimation,bioskills,tumor-fraction-estimation,bio-tumor-fraction-estimation,ichorCNA,r,
bioskills/tumor-mutational-burden,bioskills,tumor-mutational-burden,bio-clinical-databases-tumor-mutational-burden,cyvcf2,python,
bioskills/tximport-workflow,bioskills,tximport-workflow,bio-rna-quantification-tximport-workflow,tximport,r,
bioskills/umi-processing,bioskills,umi-processing,bio-read-qc-umi-processing,umi_tools,cli,
bioskills/uniprot-access,bioskills,uniprot-access,bio-uniprot-access,requests,python,
bioskills/upset-plots,bioskills,upset-plots,bio-data-visualization-upset-plots,ComplexUpset,mixed,
bioskills/variant-annotation,bioskills,variant-annotation,bio-variant-annotation,VEP,mixed,
bioskills/variant-calling,bioskills,variant-calling,bio-variant-calling,bcftools,cli,
bioskills/variant-normalization,bioskills,variant-normalization,bio-variant-normalization,bcftools,cli,
bioskills/variant-prioritization,bioskills,variant-prioritization,bio-clinical-databases-variant-prioritization,pandas,python,
bioskills/variant-surveillance,bioskills,variant-surveillance,bio-epidemiological-genomics-variant-surveillance,nextclade,cli,
bioskills/vcf-basics,bioskills,vcf-basics,bio-vcf-basics,bcftools,cli,
bioskills/vcf-manipulation,bioskills,vcf-manipulation,bio-vcf-manipulation,bcftools,cli,
bioskills/vcf-statistics,bioskills,vcf-statistics,bio-vcf-statistics,bcftools,cli,
bioskills/vdjtools-analysis,bioskills,vdjtools-analysis,bio-tcr-bcr-analysis-vdjtools-analysis,VDJtools,cli,
bioskills/virtual-screening,bioskills,virtual-screening,bio-virtual-screening,AutoDock Vina,python,
bioskills/volcano-and-ma-plots,bioskills,volcano-and-ma-plots,bio-data-visualization-volcano-and-ma-plots,ggplot2,mixed,
bioskills/wdl-workflows,bioskills,wdl-workflows,bio-workflow-management-wdl-workflows,cromwell,cli,
bioskills/whole-genome-alignment,bioskills,whole-genome-alignment,bio-comparative-genomics-whole-genome-alignment,Cactus,cli,
bioskills/whole-genome-duplication,bioskills,whole-genome-duplication,bio-comparative-genomics-whole-genome-duplication,wgd,mixed,
bioskills/wikipathways,bioskills,wikipathways,bio-pathway-wikipathways,clusterProfiler,r,
bioskills/write-sequences,bioskills,write-sequences,bio-write-sequences,Bio.SeqIO,python,
bioskills/xcms-preprocessing,bioskills,xcms-preprocessing,bio-metabolomics-xcms-preprocessing,xcms,r,
claude-science/alphafold2,claude-science,alphafold2,alphafold2,,,biomodels
claude-science/boltz,claude-science,boltz,boltz,,,biomodels
claude-science/borzoi,claude-science,borzoi,borzoi,,,biomodels
claude-science/chai1,claude-science,chai1,chai1,,,biomodels
claude-science/compute-env-setup,claude-science,compute-env-setup,compute-env-setup,,,
claude-science/customize,claude-science,customize,customize,,,
claude-science/diffdock,claude-science,diffdock,diffdock,,,biomodels
claude-science/esmfold2,claude-science,esmfold2,esmfold2,,,biomodels
claude-science/evo2,claude-science,evo2,evo2,,,biomodels
claude-science/fair-esm2,claude-science,fair-esm2,fair-esm2,,,biomodels
claude-science/figure-composer,claude-science,figure-composer,figure-composer,,,
claude-science/figure-style,claude-science,figure-style,figure-style,,,
claude-science/indication-dossier,claude-science,indication-dossier,indication-dossier,,,
claude-science/ligandmpnn,claude-science,ligandmpnn,ligandmpnn,,,biomodels
claude-science/literature-review,claude-science,literature-review,literature-review,,,
claude-science/managed-model-endpoints,claude-science,managed-model-endpoints,managed-model-endpoints,,,
claude-science/openfold3,claude-science,openfold3,openfold3,,,biomodels
claude-science/paper-narrative,claude-science,paper-narrative,paper-narrative,,,
claude-science/pdf-explore,claude-science,pdf-explore,pdf-explore,,,
claude-science/product-self-knowledge,claude-science,product-self-knowledge,product-self-knowledge,,,
claude-science/proteinmpnn,claude-science,proteinmpnn,proteinmpnn,,,biomodels
claude-science/remote-compute-modal,claude-science,remote-compute-modal,remote-compute-modal,,,
claude-science/remote-compute-ssh,claude-science,remote-compute-ssh,remote-compute-ssh,,,
claude-science/scgpt,claude-science,scgpt,scgpt,,,biomodels
claude-science/scvi-tools,claude-science,scvi-tools,scvi-tools,,,
claude-science/self-awareness,claude-science,self-awareness,self-awareness,,,
claude-science/skill-creator,claude-science,skill-creator,skill-creator,,,
claude-science/solublempnn,claude-science,solublempnn,solublempnn,,,biomodels
claude-science/using-model-endpoint,claude-science,using-model-endpoint,using-model-endpoint,,,
clawbio/affinity-proteomics,clawbio,affinity-proteomics,affinity-proteomics,,,
clawbio/analyze-fasta,clawbio,analyze-fasta,analyze-fasta,,,
clawbio/archaic-introgression,clawbio,archaic-introgression,archaic-introgression,,,
clawbio/bgpt-mcp,clawbio,bgpt-mcp,bgpt-mcp,,,
clawbio/bio-orchestrator,clawbio,bio-orchestrator,bio-orchestrator,,,
clawbio/bioconductor-bridge,clawbio,bioconductor-bridge,bioconductor-bridge,,,
clawbio/cell-detection,clawbio,cell-detection,cell-detection,,,
clawbio/claw-ancestry-pca,clawbio,claw-ancestry-pca,claw-ancestry-pca,,,
clawbio/claw-metagenomics,clawbio,claw-metagenomics,claw-metagenomics,,,
clawbio/claw-methylation-cycle,clawbio,claw-methylation-cycle,methylation-cycle,,,
clawbio/claw-semantic-sim,clawbio,claw-semantic-sim,claw-semantic-sim,,,
clawbio/clinical-trial-finder,clawbio,clinical-trial-finder,clinical-trial-finder,,,
clawbio/clinical-variant-reporter,clawbio,clinical-variant-reporter,clinical-variant-reporter,,,
clawbio/clinpgx,clawbio,clinpgx,clinpgx,,,
clawbio/crispr-screen-triage,clawbio,crispr-screen-triage,crispr-screen-triage,,,
clawbio/de-summary,clawbio,de-summary,de-summary,,,
clawbio/diff-visualizer,clawbio,diff-visualizer,diff-visualizer,,,
clawbio/dnasp,clawbio,dnasp,dnasp,,,
clawbio/drug-photo,clawbio,drug-photo,drug-photo,,,
clawbio/eqtl-catalogue-region-fetch,clawbio,eqtl-catalogue-region-fetch,eqtl-catalogue-region-fetch,,,
clawbio/equity-scorer,clawbio,equity-scorer,equity-scorer,,,
clawbio/fastreer,clawbio,fastreer,fastreer,,,
clawbio/fine-mapping,clawbio,fine-mapping,fine-mapping,,,
clawbio/flow-bio,clawbio,flow-bio,flow-bio,,,
clawbio/galaxy-bridge,clawbio,galaxy-bridge,galaxy-bridge,,,
clawbio/genome-compare,clawbio,genome-compare,genome-compare,,,
clawbio/genome-match,clawbio,genome-match,genome-match,,,
clawbio/gwas-catalog-region-fetch,clawbio,gwas-catalog-region-fetch,gwas-catalog-region-fetch,,,
clawbio/gwas-lookup,clawbio,gwas-lookup,gwas-lookup,,,
clawbio/gwas-pipeline,clawbio,gwas-pipeline,gwas-pipeline,,,
clawbio/gwas-prs,clawbio,gwas-prs,gwas-prs,,,
clawbio/illumina-bridge,clawbio,illumina-bridge,illumina-bridge,,,
clawbio/lit-synthesizer,clawbio,lit-synthesizer,lit-synthesizer,,,
clawbio/mendelian-randomisation,clawbio,mendelian-randomisation,mendelian-randomisation,,,
clawbio/methylation-clock,clawbio,methylation-clock,methylation-clock,,,
clawbio/multiqc-reporter,clawbio,multiqc-reporter,multiqc-reporter,,,
clawbio/ncbi-datasets,clawbio,ncbi-datasets,ncbi-datasets,,,
clawbio/nfcore-rnaseq-wrapper,clawbio,nfcore-rnaseq-wrapper,nfcore-rnaseq-wrapper,,,
clawbio/nfcore-scrnaseq-wrapper,clawbio,nfcore-scrnaseq-wrapper,nfcore-scrnaseq-wrapper,,,
clawbio/nutrigx-advisor,clawbio,nutrigx-advisor,nutrigx-advisor,,,
clawbio/omics-target-evidence-mapper,clawbio,omics-target-evidence-mapper,omics-target-evidence-mapper,,,
clawbio/pharmgx-reporter,clawbio,pharmgx-reporter,pharmgx-reporter,,,
clawbio/profile-report,clawbio,profile-report,profile-report,,,
clawbio/proteomics-clock,clawbio,proteomics-clock,proteomics-clock,,,
clawbio/proteomics-de,clawbio,proteomics-de,proteomics-de,,,
clawbio/pubmed-summariser,clawbio,pubmed-summariser,pubmed-summariser,,,
clawbio/rare-disease-rnaseq,clawbio,rare-disease-rnaseq,rare-disease-rnaseq,,,
clawbio/recombinator,clawbio,recombinator,recombinator,,,
clawbio/repro-enforcer,clawbio,repro-enforcer,repro-enforcer,,,
clawbio/rnaseq-de,clawbio,rnaseq-de,rnaseq-de,,,
clawbio/scrna-embedding,clawbio,scrna-embedding,scrna-embedding,,,
clawbio/scrna-orchestrator,clawbio,scrna-orchestrator,scrna-orchestrator,,,
clawbio/seq-wrangler,clawbio,seq-wrangler,seq-wrangler,,,
clawbio/skill-builder,clawbio,skill-builder,skill-builder,,,
clawbio/soul2dna,clawbio,soul2dna,soul2dna,,,
clawbio/struct-predictor,clawbio,struct-predictor,struct-predictor,,,
clawbio/target-validation-scorer,clawbio,target-validation-scorer,target-validation-scorer,,,
clawbio/turingdb-graph,clawbio,turingdb-graph,turingdb-graph,,,
clawbio/ukb-navigator,clawbio,ukb-navigator,ukb-navigator,,,
clawbio/variant-annotation,clawbio,variant-annotation,variant-annotation,,,
clawbio/vcf-annotator,clawbio,vcf-annotator,vcf-annotator,,,
clawbio/wes-clinical-report-en,clawbio,wes-clinical-report-en,wes-clinical-report-en,,,
clawbio/wes-clinical-report-es,clawbio,wes-clinical-report-es,wes-clinical-report-es,,,
drugclaw/ade_corpus,drugclaw,ade_corpus,,,,
drugclaw/adrecs,drugclaw,adrecs,ADReCS-query,,,
drugclaw/atc,drugclaw,atc,27_ATC_DDD,,,
drugclaw/bindingdb,drugclaw,bindingdb,bindingdb-query,,,
drugclaw/cadec,drugclaw,cadec,cadec-query,,,
drugclaw/chebi,drugclaw,chebi,chebi-query,,,
drugclaw/chembl,drugclaw,chembl,chembl-query,,,
drugclaw/cpic,drugclaw,cpic,,,,
drugclaw/dailymed,drugclaw,dailymed,dailymed-query,,,
drugclaw/ddi_corpus,drugclaw,ddi_corpus,,,,
drugclaw/ddinter,drugclaw,ddinter,DDInter,,,
drugclaw/dgidb,drugclaw,dgidb,16_DGIdb,,,
drugclaw/dili,drugclaw,dili,,,,
drugclaw/dilirank,drugclaw,dilirank,48_LTKB,,,
drugclaw/drkg,drugclaw,drkg,drkg-query,,,
drugclaw/drugbank,drugclaw,drugbank,drugbank-query,,,
drugclaw/drugcentral,drugclaw,drugcentral,drugcentral-query,,,
drugclaw/drugcomb,drugclaw,drugcomb,DrugComb,,,
drugclaw/drugcombdb,drugclaw,drugcombdb,drugcombdb-query,,,
drugclaw/drugmechdb,drugclaw,drugmechdb,drugmechdb-query,,,
drugclaw/drugprot,drugclaw,drugprot,,,,
drugclaw/drugrepobank,drugclaw,drugrepobank,DrugRepoBank-query,,,
drugclaw/drugs_com_reviews,drugclaw,drugs_com_reviews,druglib-reviews,,,
drugclaw/faers,drugclaw,faers,faers-query,,,
drugclaw/fda_orange_book,drugclaw,fda_orange_book,fda-orange-book-query,,,
drugclaw/gdkd,drugclaw,gdkd,GDKD-query,,,
drugclaw/gdsc,drugclaw,gdsc,,,,
drugclaw/iuphar,drugclaw,iuphar,iuphar-pharmacology,,,
drugclaw/kegg_drug,drugclaw,kegg_drug,,,,
drugclaw/livertox,drugclaw,livertox,,,,
drugclaw/mecddi,drugclaw,mecddi,mecddi-query,,,
drugclaw/medlineplus,drugclaw,medlineplus,medlineplus-drug-info,,,
drugclaw/molecular_targets,drugclaw,molecular_targets,molecular-targets-query,,,
drugclaw/molecular_targets_data,drugclaw,molecular_targets_data,NCI-DTP-MolTarget,,,
drugclaw/ndfrt,drugclaw,ndfrt,52_NDF_RT,,,
drugclaw/nsides,drugclaw,nsides,nsides-query,,,
drugclaw/open_targets,drugclaw,open_targets,open-targets-platform,,,
drugclaw/openfda,drugclaw,openfda,openfda-human-drug,,,
drugclaw/oregano,drugclaw,oregano,oregano-query,,,
drugclaw/pharmgkb,drugclaw,pharmgkb,pharmgkb-clinpgx,,,
drugclaw/pharmkg,drugclaw,pharmkg,pharmkg-query,,,
drugclaw/phee,drugclaw,phee,phee-query,,,
drugclaw/psytar,drugclaw,psytar,psytar-query,,,
drugclaw/repodb,drugclaw,repodb,repodb-query,,,
drugclaw/repurposedrugs,drugclaw,repurposedrugs,RepurposeDrugs-query,,,
drugclaw/repurposing_hub,drugclaw,repurposing_hub,Drug-Repurposing-Hub,,,
drugclaw/rxnorm,drugclaw,rxnorm,rxnorm-query,,,
drugclaw/sematyp,drugclaw,sematyp,,,,
drugclaw/sider,drugclaw,sider,,,,
drugclaw/stitch,drugclaw,stitch,stitch-query,,,
drugclaw/tac2017,drugclaw,tac2017,tac2017-adr,,,
drugclaw/tarkg,drugclaw,tarkg,TarKG,,,
drugclaw/ttd,drugclaw,ttd,TTD,,,
drugclaw/unid3,drugclaw,unid3,,,,
drugclaw/unitox,drugclaw,unitox,unitox-query,,,
drugclaw/webmd,drugclaw,webmd,webmd-drug-reviews,,,
drugclaw/who_eml,drugclaw,who_eml,WHO-EML-query,,,
evoskills/academic-slides,evoskills,academic-slides,academic-slides,,,
evoskills/evo-memory,evoskills,evo-memory,evo-memory,,,
evoskills/evomath-tao,evoskills,evomath-tao,evomath-tao,,,
evoskills/experiment-craft,evoskills,experiment-craft,experiment-craft,,,
evoskills/experiment-iterative-coder,evoskills,experiment-iterative-coder,experiment-iterative-coder,,,
evoskills/experiment-pipeline,evoskills,experiment-pipeline,experiment-pipeline,,,
evoskills/nano-banana,evoskills,nano-banana,nano-banana,,,
evoskills/paper-navigator,evoskills,paper-navigator,paper-navigator,,,
evoskills/paper-planning,evoskills,paper-planning,paper-planning,,,
evoskills/paper-rebuttal,evoskills,paper-rebuttal,paper-rebuttal,,,
evoskills/paper-review,evoskills,paper-review,paper-review,,,
evoskills/research-ideation,evoskills,research-ideation,research-ideation,,,
evoskills/research-survey,evoskills,research-survey,research-survey,,,
kdense/adaptyv,kdense,adaptyv,adaptyv,,,
kdense/aeon,kdense,aeon,aeon,,,
kdense/anndata,kdense,anndata,anndata,,,
kdense/arboreto,kdense,arboreto,arboreto,,,
kdense/astropy,kdense,astropy,astropy,,,
kdense/benchling-integration,kdense,benchling-integration,benchling-integration,,,
kdense/bgpt-paper-search,kdense,bgpt-paper-search,bgpt-paper-search,,,
kdense/biopython,kdense,biopython,biopython,,,
kdense/bioservices,kdense,bioservices,bioservices,,,
kdense/cellxgene-census,kdense,cellxgene-census,cellxgene-census,,,
kdense/cirq,kdense,cirq,cirq,,,
kdense/citation-management,kdense,citation-management,citation-management,,,
kdense/clinical-decision-support,kdense,clinical-decision-support,clinical-decision-support,,,
kdense/clinical-reports,kdense,clinical-reports,clinical-reports,,,
kdense/cobrapy,kdense,cobrapy,cobrapy,,,
kdense/database-lookup,kdense,database-lookup,database-lookup,,,
kdense/datamol,kdense,datamol,datamol,,,
kdense/deepchem,kdense,deepchem,deepchem,,,
kdense/deeptools,kdense,deeptools,deeptools,,,
kdense/depmap,kdense,depmap,depmap,,,
kdense/dhdna-profiler,kdense,dhdna-profiler,dhdna-profiler,,,
kdense/diffdock,kdense,diffdock,diffdock,,,
kdense/dnanexus-integration,kdense,dnanexus-integration,dnanexus-integration,,,
kdense/docx,kdense,docx,docx,,,
kdense/etetoolkit,kdense,etetoolkit,etetoolkit,,,
kdense/exa-search,kdense,exa-search,exa-search,,,
kdense/exploratory-data-analysis,kdense,exploratory-data-analysis,exploratory-data-analysis,,,
kdense/flowio,kdense,flowio,flowio,,,
kdense/fluidsim,kdense,fluidsim,fluidsim,,,
kdense/generate-image,kdense,generate-image,generate-image,,,
kdense/geniml,kdense,geniml,geniml,,,
kdense/geomaster,kdense,geomaster,geomaster,,,
kdense/geopandas,kdense,geopandas,geopandas,,,
kdense/get-available-resources,kdense,get-available-resources,get-available-resources,,,
kdense/gget,kdense,gget,gget,,,
kdense/ginkgo-cloud-lab,kdense,ginkgo-cloud-lab,ginkgo-cloud-lab,,,
kdense/glycoengineering,kdense,glycoengineering,glycoengineering,,,
kdense/gtars,kdense,gtars,gtars,,,
kdense/histolab,kdense,histolab,histolab,,,
kdense/hugging-science,kdense,hugging-science,hugging-science,,,
kdense/hypogenic,kdense,hypogenic,hypogenic,,,
kdense/hypothesis-generation,kdense,hypothesis-generation,hypothesis-generation,,,
kdense/imaging-data-commons,kdense,imaging-data-commons,imaging-data-commons,,,
kdense/iso-13485-certification,kdense,iso-13485-certification,iso-13485-certification,,,
kdense/lamindb,kdense,lamindb,lamindb,,,
kdense/latchbio-integration,kdense,latchbio-integration,latchbio-integration,,,
kdense/literature-review,kdense,literature-review,literature-review,,,
kdense/market-research-reports,kdense,market-research-reports,market-research-reports,,,
kdense/markitdown,kdense,markitdown,markitdown,,,
kdense/matchms,kdense,matchms,matchms,,,
kdense/matplotlib,kdense,matplotlib,matplotlib,,,
kdense/medchem,kdense,medchem,medchem,,,
kdense/modal,kdense,modal,modal,,,
kdense/molecular-dynamics,kdense,molecular-dynamics,molecular-dynamics,,,
kdense/networkx,kdense,networkx,networkx,,,
kdense/neurokit2,kdense,neurokit2,neurokit2,,,
kdense/neuropixels-analysis,kdense,neuropixels-analysis,neuropixels-analysis,,,
kdense/omero-integration,kdense,omero-integration,omero-integration,,,
kdense/open-notebook,kdense,open-notebook,open-notebook,,,
kdense/optimize-for-gpu,kdense,optimize-for-gpu,optimize-for-gpu,,,
kdense/pacsomatic,kdense,pacsomatic,pacsomatic,,,
kdense/paper-lookup,kdense,paper-lookup,paper-lookup,,,
kdense/pathml,kdense,pathml,pathml,,,
kdense/peer-review,kdense,peer-review,peer-review,,,
kdense/pennylane,kdense,pennylane,pennylane,,,
kdense/phylogenetics,kdense,phylogenetics,phylogenetics,,,
kdense/polars,kdense,polars,polars,,,
kdense/polars-bio,kdense,polars-bio,polars-bio,,,
kdense/primekg,kdense,primekg,primekg,,,
kdense/pydeseq2,kdense,pydeseq2,pydeseq2,,,
kdense/pydicom,kdense,pydicom,pydicom,,,
kdense/pyhealth,kdense,pyhealth,pyhealth,,,
kdense/pymatgen,kdense,pymatgen,pymatgen,,,
kdense/pyopenms,kdense,pyopenms,pyopenms,,,
kdense/pysam,kdense,pysam,pysam,,,
kdense/pytdc,kdense,pytdc,pytdc,,,
kdense/rdkit,kdense,rdkit,rdkit,,,
kdense/rowan,kdense,rowan,rowan,,,
kdense/scanpy,kdense,scanpy,scanpy,,,
kdense/scholar-evaluation,kdense,scholar-evaluation,scholar-evaluation,,,
kdense/scientific-brainstorming,kdense,scientific-brainstorming,scientific-brainstorming,,,
kdense/scientific-schematics,kdense,scientific-schematics,scientific-schematics,,,
kdense/scientific-slides,kdense,scientific-slides,scientific-slides,,,
kdense/scientific-visualization,kdense,scientific-visualization,scientific-visualization,,,
kdense/scientific-writing,kdense,scientific-writing,scientific-writing,,,
kdense/scikit-bio,kdense,scikit-bio,scikit-bio,,,
kdense/scikit-survival,kdense,scikit-survival,scikit-survival,,,
kdense/scvelo,kdense,scvelo,scvelo,,,
kdense/scvi-tools,kdense,scvi-tools,scvi-tools,,,
kdense/shap,kdense,shap,shap,,,
kdense/statistical-analysis,kdense,statistical-analysis,statistical-analysis,,,
kdense/statsmodels,kdense,statsmodels,statsmodels,,,
kdense/sympy,kdense,sympy,sympy,,,
kdense/tiledbvcf,kdense,tiledbvcf,tiledbvcf,,,
kdense/torch-geometric,kdense,torch-geometric,torch-geometric,,,
kdense/torchdrug,kdense,torchdrug,torchdrug,,,
kdense/transformers,kdense,transformers,transformers,,,
kdense/treatment-plans,kdense,treatment-plans,treatment-plans,,,
kdense/umap-learn,kdense,umap-learn,umap-learn,,,
kdense/venue-templates,kdense,venue-templates,venue-templates,,,
kdense/what-if-oracle,kdense,what-if-oracle,what-if-oracle,,,
kdense/xlsx,kdense,xlsx,xlsx,,,
labclaw/academic-literature-search,labclaw,academic-literature-search,,,,
