archive_path,source_repo,folder_name,name,primary_tool,tool_type,category
bioskills/cwl-workflows,bioskills,cwl-workflows,bio-workflow-management-cwl-workflows,cwltool,cli,
bioskills/cytometry-pipeline,bioskills,cytometry-pipeline,bio-workflows-cytometry-pipeline,CATALYST,r,
bioskills/cytometry-qc,bioskills,cytometry-qc,bio-flow-cytometry-cytometry-qc,flowAI,r,
bioskills/data-harmonization,bioskills,data-harmonization,bio-multi-omics-data-harmonization,MultiAssayExperiment,r,
bioskills/data-import,bioskills,data-import,bio-proteomics-data-import,pyOpenMS,mixed,
bioskills/data-io,bioskills,data-io,bio-single-cell-data-io,Seurat,mixed,
bioskills/data-preprocessing,bioskills,data-preprocessing,bio-imaging-mass-cytometry-data-preprocessing,steinbock,python,
bioskills/database-access__ortholog-inference,bioskills,database-access__ortholog-inference,bio-ortholog-inference,requests,python,
bioskills/dbsnp-queries,bioskills,dbsnp-queries,bio-clinical-databases-dbsnp-queries,myvariant,python,
bioskills/de-results,bioskills,de-results,bio-de-results,DESeq2,r,
bioskills/de-visualization,bioskills,de-visualization,bio-de-visualization,DESeq2,r,
bioskills/deep-learning-atac,bioskills,deep-learning-atac,bio-atac-seq-deep-learning-atac,chrombpnet,python,
bioskills/deepvariant,bioskills,deepvariant,bio-variant-calling-deepvariant,DeepVariant,cli,
bioskills/deseq2-basics,bioskills,deseq2-basics,bio-de-deseq2-basics,DESeq2,r,
bioskills/dia-analysis,bioskills,dia-analysis,bio-proteomics-dia-analysis,diann,cli,
bioskills/differential-abundance,bioskills,differential-abundance,bio-microbiome-differential-abundance,ALDEx2,r,
bioskills/differential-accessibility,bioskills,differential-accessibility,bio-atac-seq-differential-accessibility,DiffBind,r,
bioskills/differential-analysis,bioskills,differential-analysis,bio-flow-cytometry-differential-analysis,CATALYST,r,
bioskills/differential-binding,bioskills,differential-binding,bio-chipseq-differential-binding,DiffBind,mixed,
bioskills/differential-clip,bioskills,differential-clip,bio-clip-seq-differential-clip,DEWSeq,r,
bioskills/differential-cpg-testing,bioskills,differential-cpg-testing,bio-methylation-differential-cpg,scipy,mixed,
bioskills/differential-expression__batch-correction,bioskills,differential-expression__batch-correction,bio-differential-expression-batch-correction,sva,r,
bioskills/differential-mirna,bioskills,differential-mirna,bio-small-rna-seq-differential-mirna,DESeq2,r,
bioskills/differential-networks,bioskills,differential-networks,bio-gene-regulatory-networks-differential-networks,DiffCorr,r,
bioskills/differential-splicing,bioskills,differential-splicing,bio-differential-splicing,rMATS-turbo,mixed,
bioskills/dimensionality-reduction-plots,bioskills,dimensionality-reduction-plots,bio-data-visualization-dimensionality-reduction-plots,scanpy,mixed,
bioskills/distance-calculations,bioskills,distance-calculations,bio-phylo-distance-calculations,Bio.Phylo.TreeConstruction,python,
bioskills/distribution-plots,bioskills,distribution-plots,bio-data-visualization-distribution-plots,ggplot2,mixed,
bioskills/divergence-dating,bioskills,divergence-dating,bio-phylo-divergence-dating,BEAST2,mixed,
bioskills/diversity-analysis,bioskills,diversity-analysis,bio-microbiome-diversity-analysis,phyloseq,r,
bioskills/dmr-detection,bioskills,dmr-detection,bio-methylation-dmr-detection,methylKit,r,
bioskills/doublet-detection,bioskills,doublet-detection,bio-flow-cytometry-doublet-detection,flowCore,r,
bioskills/drugz-chemogenomic,bioskills,drugz-chemogenomic,bio-crispr-screens-drugz-chemogenomic,drugZ,cli,
bioskills/duplicate-handling,bioskills,duplicate-handling,bio-duplicate-handling,samtools,cli,
bioskills/edger-basics,bioskills,edger-basics,bio-de-edger-basics,edgeR,r,
bioskills/edna-metabarcoding,bioskills,edna-metabarcoding,bio-ecological-genomics-edna-metabarcoding,obitools3,mixed,
bioskills/edna-pipeline,bioskills,edna-pipeline,bio-workflows-edna-pipeline,obitools3,mixed,
bioskills/effect-measures,bioskills,effect-measures,bio-clinical-biostatistics-effect-measures,statsmodels,python,
bioskills/effector-gene-prioritization,bioskills,effector-gene-prioritization,bio-causal-genomics-effector-gene-prioritization,MAGMA,mixed,
bioskills/enhancer-gene-linking,bioskills,enhancer-gene-linking,bio-atac-seq-enhancer-gene-linking,ABC-Enhancer-Gene-Prediction,mixed,
bioskills/enrichment-visualization,bioskills,enrichment-visualization,bio-pathway-enrichment-visualization,enrichplot,r,
bioskills/ensembl-rest,bioskills,ensembl-rest,bio-ensembl-rest,requests,python,
bioskills/entrez-fetch,bioskills,entrez-fetch,bio-entrez-fetch,Bio.Entrez,python,
bioskills/entrez-link,bioskills,entrez-link,bio-entrez-link,Bio.Entrez,python,
bioskills/entrez-search,bioskills,entrez-search,bio-entrez-search,Bio.Entrez,python,
bioskills/enzyme-selection,bioskills,enzyme-selection,bio-restriction-enzyme-selection,Bio.Restriction,python,
